timestamp,symbol,option_type,strike,latest_trade_price,latest_quote_bid,latest_quote_ask,implied_volatility,delta,gamma,theta,vega,rho,price
2025-07-09T09:28:36.228663,SPY250709P00624000,put,624.0,1.33,1.33,1.38,0.07716681287628716,-0.5925119291058374,0.15417842378265972,-0.4378597544642194,0.12664365163617256,-0.01015491878493838,623.32
2025-07-09T09:28:36.228663,SPY250709C00617000,call,617.0,6.53,6.38,6.55,0.13162859554286327,0.9335135434641564,0.030046665832869857,-0.35588892128433564,0.04209938910834549,0.015762949641426792,623.32
2025-07-09T09:28:36.228663,SPY250709C00620000,call,620.0,3.63,3.48,3.51,0.0969027275736632,0.8604774161881996,0.0702377444168004,-0.4240037751846935,0.07244957087739684,0.014595144741326813,623.32
2025-07-09T09:28:36.228663,SPY250709C00624000,call,624.0,0.72,0.67,0.72,0.07594444322416667,0.40600165506823227,0.15651848186521627,-0.5150279720101205,0.12652923691931103,0.006913669907866581,623.32
2025-07-09T09:28:36.228663,SPY250709P00621000,put,621.0,0.3,0.3,0.35,0.08565281719054309,-0.19364469883011592,0.09824268819504998,-0.3670280150083837,0.08957176847047921,-0.003315140100679319,623.32
2025-07-09T09:28:36.228663,SPY250709C00618000,call,618.0,5.79,5.41,5.49,0.15789111906352254,0.8549440199343192,0.04425658339905,-0.6594161538251088,0.07438148519719101,0.01444147141110849,623.32
2025-07-09T09:28:36.228663,SPY250709P00630000,put,630.0,6.65,6.54,6.77,0.11320001629972612,-0.9618848170368124,0.022433550144725548,-0.06995683803659297,0.027031724696257583,-0.01660854915494208,623.32
2025-07-09T09:28:36.228663,SPY250709C00623000,call,623.0,1.23,1.18,1.24,0.07796622233514561,0.5641264129209416,0.15480304194333283,-0.5488317926811206,0.12847399884903063,0.009600034950736474,623.32
2025-07-09T09:28:36.228663,SPY250709C00627000,call,627.0,0.1,0.09,0.1,0.0796402016569055,0.08422905528378127,0.05947975469228804,-0.20796417328819444,0.05042324359869623,0.0014356617736845188,623.32
2025-07-09T09:28:36.228663,SPY250709P00622000,put,622.0,0.54,0.54,0.55,0.08484949845009193,-0.3048868294631002,0.12651099996765497,-0.4586521259878409,0.11426331708488575,-0.005221426261395606,623.32
